HRD Diffraction Histogram for 177-degree bank, RUN0000078
The original intensities and sigmas have been multiplied by 10000
TOF INT ERR
8086.37 2803.863518 60.702040
8097.35 2746.421602 60.039128
8108.33 2794.291790 60.355120
8119.30 2755.808261 59.163296
8130.28 2687.915444 58.085037
8141.25 2728.851368 58.933165
8152.23 2781.088598 58.916751
8163.20 2790.531136 58.817170
8174.18 2762.601188 57.996031
8185.15 2713.852934 56.982346
8196.13 2705.079712 57.047957
8207.10 2714.536928 56.482494
8218.08 2861.640557 58.478406
8229.05 2850.873919 58.923722
8240.03 2684.792156 56.365658
8251.00 2725.455324 56.568584
8261.98 2878.406509 58.135274
8272.95 2817.132511 57.094562
8283.93 2703.816725 55.766767
8294.90 2865.239748 57.852298
8305.88 2742.329456 55.871136
8316.85 2809.001746 56.720164
8327.83 2795.569275 56.162518
8338.80 2887.575234 56.874806
8349.78 2812.375664 55.972941
8360.75 2926.361339 57.052797
8371.73 2791.519094 55.629283
8382.70 2739.704437 54.743218
8393.68 2776.617865 54.118930
8404.65 2780.647790 53.961036
8415.63 2828.717231 54.747746
8426.60 2726.779336 53.405936
8437.58 2770.173391 54.147703
8448.55 2760.710793 53.775799
8459.53 2858.175022 54.708916
8470.51 2738.290910 53.129793
8481.48 2759.141882 53.348964
8492.46 2854.840896 53.947602
8503.43 2761.703821 52.922876
8514.41 2691.547214 52.104737
8525.38 2758.939152 53.140107
8536.36 2872.645772 53.954603
8547.33 2839.988511 52.955687
8558.31 2730.802168 51.246735
8569.28 2765.296623 52.296866
8580.26 2877.853782 53.932394
8591.23 2774.800797 51.648690
8602.21 2780.197779 51.828441
8613.18 2820.162048 52.064489
8624.16 2828.361997 51.999620
8635.13 2754.597581 50.798310
8646.11 2691.868404 50.341630
8657.08 2741.189242 51.332700
8668.06 2844.863252 52.352324
8679.03 2768.695891 50.642256
8690.01 2728.548539 50.374649
8700.98 2661.968581 49.606262
8711.96 2674.450145 49.635749
8722.93 2773.112327 50.235463
8733.91 2756.542737 50.248848
8744.88 2797.004199 50.760516
8755.86 2835.455369 50.820190
8766.83 2821.524507 50.824200
8777.81 2834.496735 50.848019
8788.78 2815.834739 50.192551
8799.76 2709.117219 49.080038
8810.73 2683.619118 48.897959
8821.71 2803.071424 49.687037
8832.69 2699.671736 48.383712
8843.66 2676.027378 47.827945
8854.64 2782.053033 48.933534
8865.61 2784.099069 48.879731
8876.59 2679.958664 47.892363
8887.56 2861.031735 49.611892
8898.54 2827.352411 49.235645
8909.51 2858.230323 48.888233
8920.49 2775.250691 48.287667
8931.46 2806.718002 48.376276
8942.44 2835.242645 49.003595
8953.41 2780.972373 48.374811
8964.39 2822.623759 48.886191
8975.36 2851.087224 48.514082
8986.34 2787.465756 48.001076
8997.31 2797.378052 48.072631
9008.29 2738.643286 47.422624
9019.26 2769.443979 47.461976
9030.24 2782.102644 47.654709
9041.21 2841.331435 48.199450
9052.19 2793.741470 47.473182
9063.16 2751.303057 46.782806
9074.14 2829.815245 47.194489
9085.11 2845.310409 47.766135
9096.09 2706.381815 45.950636
9107.06 2832.075084 47.396491
9118.04 2858.777231 47.362076
9129.01 2891.293166 48.237037
9139.99 2781.436698 46.664801
9150.96 2799.676990 46.606130
9161.94 2764.728748 46.372977
9172.91 2874.692420 47.406975
9183.89 2874.886586 46.920651
9194.87 2802.144551 46.324245
9205.84 2829.220103 47.018296
9216.82 2822.321618 46.548887
9227.79 2801.150387 46.343780
9238.77 2797.354075 45.723528
9249.74 2888.597629 46.465756
9260.72 2888.955500 46.807363
9271.69 2812.458523 45.935798
9282.67 2824.229091 45.960438
9293.64 2712.929468 45.272490
9304.62 2724.802666 44.870650
9315.59 2853.944710 45.845343
9326.57 2705.701911 44.750779
9337.54 2839.279240 45.491322
9348.52 2838.525135 45.928758
9359.49 2755.319217 44.631534
9370.47 2739.537995 44.381801
9381.44 2767.641194 45.013567
9392.42 2718.228258 44.443258
9403.39 2777.813051 44.532938
9414.37 2784.650909 44.731991
9425.34 2764.189747 44.260323
9436.32 2753.990000 44.191847
9447.29 2836.508564 45.147675
9458.27 2787.069065 44.569732
9469.24 2827.993160 45.102638
9480.22 2817.843217 44.303321
9491.19 2846.593283 44.702997
9502.17 2763.399702 43.631076
9513.14 2767.850313 43.911489
9524.12 2905.677717 45.011377
9535.09 2791.658304 44.048913
9546.07 2798.676142 43.701204
9557.05 2791.014574 43.570606
9568.02 2866.477315 44.778659
9579.00 2703.096856 42.604149
9589.97 2824.376955 43.630249
9600.95 2741.179426 42.864492
9611.92 2734.723548 42.889598
9622.90 2770.200623 43.081257
9633.87 2748.198170 43.491888
9644.85 2738.412140 43.011365
9655.82 2759.712334 43.204640
9666.80 2746.190030 42.673928
9677.77 2712.732048 42.375322
9688.75 2744.650410 42.835527
9699.72 2816.799942 43.156133
9710.70 2706.406377 42.163743
9721.67 2754.698104 42.392150
9732.65 2785.686864 42.448182
9743.62 2832.015100 43.211509
9754.60 2736.628622 42.233002
9765.57 2824.953590 42.961183
9776.55 2807.190764 42.441038
9787.52 2904.178500 43.601708
9798.50 2725.622338 42.062168
9809.47 2738.391778 41.976817
9820.45 2718.110613 41.612818
9831.42 2753.027172 41.887379
9842.40 2785.912601 42.334562
9853.37 2704.479983 41.269911
9864.35 2704.041951 41.166811
9875.32 2717.234195 40.845791
9886.30 2829.386260 42.133056
9897.27 2859.410205 42.466393
9908.25 2881.883282 42.939215
9919.22 2844.674760 42.165342
9930.20 2866.634238 42.397455
9941.18 2882.075920 42.493569
9952.15 2828.186686 42.062208
9963.13 2815.546572 42.129674
9974.10 2788.930929 41.448457
9985.08 2834.505718 41.799467
9996.05 2855.049959 42.050965
10007.03 2848.459260 41.720225
10018.00 2828.402238 41.678107
10028.98 2832.158199 41.845633
10039.95 2806.121295 41.477038
10050.93 2722.703054 40.774220
10061.90 2831.280726 41.771163
10072.88 2840.338897 41.195586
10083.85 2908.581849 42.151075
10094.83 2837.193373 41.158736
10105.80 2915.488286 42.330205
10116.78 2813.419869 41.699076
10127.75 2821.145130 41.156998
10138.73 2820.455389 41.403545
10149.70 2868.363487 41.655582
10160.68 2873.998031 41.354134
10171.65 2772.784343 40.750565
10182.63 2875.096016 41.407985
10193.60 2897.382913 41.571021
10204.58 2841.624424 41.296681
10215.55 2828.285064 40.518560
10226.53 2806.556397 40.641173
10237.50 2888.987238 41.142540
10248.48 2890.498187 41.119631
10259.45 2838.745815 40.508160
10270.43 2882.739410 40.934648
10281.40 2918.114682 41.422935
10292.38 2822.616100 40.696469
10303.36 2800.376305 40.506900
10314.33 2882.762760 41.303493
10325.31 2907.142862 41.331943
10336.28 2796.894327 40.333425
10347.26 2785.764779 40.095549
10358.23 2736.746511 39.855536
10369.21 2754.562633 40.117932
10380.18 2807.665078 40.587572
10391.16 2748.232692 39.592301
10402.13 2681.383920 38.688749
10413.11 2815.362720 40.125029
10424.08 2921.528871 41.118701
10435.06 2841.103294 40.103343
10446.03 2774.904771 39.211873
10457.01 2897.828466 40.239320
10467.98 3063.264213 41.708340
10478.96 2839.687645 39.909878
10489.93 2795.674519 39.866524
10500.91 2757.517591 38.948841
10511.88 2800.235813 39.698430
10522.86 2778.789776 39.034779
10533.83 2815.385960 39.584582
10544.81 2735.902383 39.229579
10555.78 2719.597271 38.677161
10566.76 2739.712330 38.748786
10577.73 2732.057004 38.741587
10588.71 2731.411676 38.963642
10599.68 2735.033348 38.974382
10610.66 2857.508765 39.894287
10621.63 2842.332056 39.686322
10632.61 2708.592161 38.268357
10643.58 2700.337190 38.144701
10654.56 2881.798090 39.759280
10665.54 2914.505308 40.150523
10676.51 2802.645638 39.133761
10687.49 2757.503526 38.824947
10698.46 2760.262053 38.611629
10709.44 2768.463480 38.300502
10720.41 3006.282615 40.351954
10731.39 2841.095797 39.209896
10742.36 2812.426747 39.203947
10753.34 2890.204357 39.608186
10764.31 2906.929044 39.316794
10775.29 2779.509437 38.503342
10786.26 2712.761319 37.900983
10797.24 2780.069837 38.720587
10808.21 2731.954537 37.979349
10819.19 2836.887538 38.791947
10830.16 2947.084220 39.570953
10841.14 2805.066617 38.330199
10852.11 2759.991128 38.001198
10863.09 2874.610272 39.096518
10874.06 2823.481633 38.728731
10885.04 2751.109248 38.020860
10896.01 2755.057828 38.008597
10906.99 2799.500011 38.303956
10917.96 2691.629479 37.321712
10928.94 2747.469934 37.722113
10939.91 2771.833753 37.804138
10950.89 2746.434576 37.589114
10961.86 2768.043820 37.682660
10972.84 2840.061787 38.408941
10983.81 2746.720546 37.604027
10994.79 2713.917795 37.235975
11005.76 2702.875264 36.864325
11016.74 2801.922968 38.099896
11027.72 2794.214849 38.084699
11038.69 2974.824783 39.322286
11049.67 2964.652226 39.087355
11060.64 2843.703386 38.307893
11071.62 2841.636950 38.047301
11082.59 3104.817448 40.359187
11093.57 2938.626057 38.558668
11104.54 2773.489063 37.579560
11115.52 2693.880706 36.693504
11126.49 2743.585052 37.217892
11137.47 2751.925085 37.386037
11148.44 2959.462806 38.905875
11159.42 2961.410997 38.449344
11170.39 2868.876676 37.994985
11181.37 2774.630895 37.202063
11192.34 2755.117421 37.079857
11203.32 2754.587629 36.905619
