# pixelID  x  y  z
101080001 0.36281 0.50200 -2.00000
101080002 0.36281 0.50600 -2.00000
101080003 0.36281 0.51000 -2.00000
101080004 0.36281 0.51400 -2.00000
101080005 0.36281 0.51800 -2.00000
101080006 0.36281 0.52200 -2.00000
101080007 0.36281 0.52600 -2.00000
101080008 0.36281 0.53000 -2.00000
101080009 0.36281 0.53400 -2.00000
101080010 0.36281 0.53800 -2.00000
101080011 0.36281 0.54200 -2.00000
101080012 0.36281 0.54600 -2.00000
101080013 0.36281 0.55000 -2.00000
101080014 0.36281 0.55400 -2.00000
101080015 0.36281 0.55800 -2.00000
101080016 0.36281 0.56200 -2.00000
101080017 0.36281 0.56600 -2.00000
101080018 0.36281 0.57000 -2.00000
101080019 0.36281 0.57400 -2.00000
101080020 0.36281 0.57800 -2.00000
101080021 0.36281 0.58200 -2.00000
101080022 0.36281 0.58600 -2.00000
101080023 0.36281 0.59000 -2.00000
101080024 0.36281 0.59400 -2.00000
101080025 0.36281 0.59800 -2.00000
101080026 0.36281 0.60200 -2.00000
101080027 0.36281 0.60600 -2.00000
101080028 0.36281 0.61000 -2.00000
101080029 0.36281 0.61400 -2.00000
101080030 0.36281 0.61800 -2.00000
101080031 0.36281 0.62200 -2.00000
101080032 0.36281 0.62600 -2.00000
101080033 0.36281 0.63000 -2.00000
101080034 0.36281 0.63400 -2.00000
101080035 0.36281 0.63800 -2.00000
101080036 0.36281 0.64200 -2.00000
101080037 0.36281 0.64600 -2.00000
101080038 0.36281 0.65000 -2.00000
101080039 0.36281 0.65400 -2.00000
101080040 0.36281 0.65800 -2.00000
101080041 0.36281 0.66200 -2.00000
101080042 0.36281 0.66600 -2.00000
101080043 0.36281 0.67000 -2.00000
101080044 0.36281 0.67400 -2.00000
101080045 0.36281 0.67800 -2.00000
101080046 0.36281 0.68200 -2.00000
101080047 0.36281 0.68600 -2.00000
101080048 0.36281 0.69000 -2.00000
101080049 0.36281 0.69400 -2.00000
101080050 0.36281 0.69800 -2.00000
101080051 0.36281 0.70200 -2.00000
101080052 0.36281 0.70600 -2.00000
101080053 0.36281 0.71000 -2.00000
101080054 0.36281 0.71400 -2.00000
101080055 0.36281 0.71800 -2.00000
101080056 0.36281 0.72200 -2.00000
101080057 0.36281 0.72600 -2.00000
101080058 0.36281 0.73000 -2.00000
101080059 0.36281 0.73400 -2.00000
101080060 0.36281 0.73800 -2.00000
