HRD Diffraction Histogram for 177-degree bank, RUN0000078
The original intensities and sigmas have been multiplied by 10000
TOF INT ERR
8086.37 2706.311492 59.188462
8097.35 2746.147306 59.980113
8108.33 2689.143390 58.513636
8119.30 2644.842474 57.424161
8130.28 2801.469250 59.623670
8141.25 2766.659857 58.934624
8152.23 2797.784518 59.599602
8163.20 2697.004890 57.881140
8174.18 2748.792874 58.149006
8185.15 2796.358176 58.547087
8196.13 2811.049257 58.391111
8207.10 2803.722593 58.236241
8218.08 2691.378361 57.054239
8229.05 2738.367948 57.007333
8240.03 2686.265442 55.961644
8251.00 2725.533039 56.259733
8261.98 2697.676159 55.674068
8272.95 2769.618246 56.863748
8283.93 2743.777771 56.896185
8294.90 2739.403190 56.329134
8305.88 2822.709688 56.988383
8316.85 2760.862793 55.926971
8327.83 2762.466643 55.966583
8338.80 2765.795818 55.817189
8349.78 2815.523348 56.251691
8360.75 2724.908112 55.001287
8371.73 2850.816586 56.226277
8382.70 2853.804236 56.536779
8393.68 2869.992864 56.065237
8404.65 2792.714245 54.959066
8415.63 2779.511876 54.719771
8426.60 2766.517397 54.775813
8437.58 2754.218262 54.072707
8448.55 2771.268324 53.962094
8459.53 2788.204206 54.187559
8470.51 2737.297179 53.270550
8481.48 2721.387193 53.563585
8492.46 2759.636315 53.172004
8503.43 2787.346141 53.934833
8514.41 2742.549804 53.271535
8525.38 2736.411329 52.724035
8536.36 2812.992805 53.641427
8547.33 2775.038292 52.509619
8558.31 2725.488426 52.584251
8569.28 2744.133273 51.914549
8580.26 2786.644066 52.563581
8591.23 2785.414556 52.422470
8602.21 2789.714993 52.434942
8613.18 2775.025948 52.059425
8624.16 2823.757144 52.326409
8635.13 2718.465862 51.350178
8646.11 2696.439651 51.177147
8657.08 2723.882736 51.216464
8668.06 2686.684001 50.383280
8679.03 2676.661937 49.902319
8690.01 2793.294069 51.489807
8700.98 2799.678303 51.207824
8711.96 2804.309713 50.903643
8722.93 2663.733991 49.741357
8733.91 2778.761428 50.486450
8744.88 2673.806514 48.731739
8755.86 2738.439505 50.043847
8766.83 2736.687768 50.390110
8777.81 2752.680079 49.835491
8788.78 2758.001641 50.330040
8799.76 2572.085896 47.994887
8810.73 2727.512503 49.544319
8821.71 2849.230812 50.636138
8832.69 2729.398750 49.333672
8843.66 2799.162137 50.013314
8854.64 2700.041591 48.907348
8865.61 2681.977522 48.531350
8876.59 2876.917129 49.932438
8887.56 2722.449892 48.434212
8898.54 2792.872847 49.272788
8909.51 2758.413247 48.724582
8920.49 2682.798852 48.378399
8931.46 2790.283417 48.744193
8942.44 2736.142738 48.279566
8953.41 2724.831948 48.255844
8964.39 2756.019931 48.252527
8975.36 2742.324946 47.761280
8986.34 2743.307563 47.895724
8997.31 2681.775420 47.237511
9008.29 2760.530654 47.963619
9019.26 2859.136013 49.061984
9030.24 2779.737323 47.856637
9041.21 2808.677119 48.142722
9052.19 2769.253840 47.577020
9063.16 2810.398707 48.057263
9074.14 2794.811633 47.470649
9085.11 2789.049983 47.191583
9096.09 2746.791775 46.823638
9107.06 2801.235291 47.002610
9118.04 2842.473565 47.504748
9129.01 2858.196702 47.389203
9139.99 2745.665917 47.095325
9150.96 2855.630426 47.862911
9161.94 2845.546191 47.962907
9172.91 2782.028080 46.791632
9183.89 2895.276119 47.913173
9194.87 2787.058832 46.589633
9205.84 2723.940157 46.016015
9216.82 2787.245329 46.831266
9227.79 2861.840971 47.478389
9238.77 2837.847918 46.665768
9249.74 2845.540014 46.980148
9260.72 2808.020120 46.451683
9271.69 2785.318455 46.032432
9282.67 2811.466932 46.032276
9293.64 2702.545389 45.143700
9304.62 2748.894287 45.430912
9315.59 2692.453062 44.500997
9326.57 2739.419315 44.929419
9337.54 2801.207633 46.008560
9348.52 2768.285101 45.331305
9359.49 2745.835365 45.230842
9370.47 2746.086029 45.261138
9381.44 2773.956336 45.376538
9392.42 2831.500957 45.609466
9403.39 2780.892646 45.260800
9414.37 2805.211496 45.187891
9425.34 2824.939208 45.695988
9436.32 2885.923069 46.139011
9447.29 2871.494054 45.743398
9458.27 2822.516965 45.149599
9469.24 2773.931491 44.758829
9480.22 2878.160131 45.463959
9491.19 2810.649740 44.803170
9502.17 2730.370534 44.385335
9513.14 2789.401762 44.701422
9524.12 2842.127114 45.097047
9535.09 2801.456420 44.510962
9546.07 2765.142930 43.916243
9557.05 2863.582841 44.677545
9568.02 2792.740549 43.979550
9579.00 2781.446072 44.141423
9589.97 2718.692649 43.404132
9600.95 2869.301914 44.877509
9611.92 2728.558415 43.545042
9622.90 2759.133078 43.805717
9633.87 2695.943864 43.271544
9644.85 2740.564897 43.228811
9655.82 2761.874046 43.709835
9666.80 2727.440197 43.120168
9677.77 2753.008183 43.232351
9688.75 2713.788334 43.053398
9699.72 2695.630660 42.772205
9710.70 2768.155004 43.450147
9721.67 2771.298910 43.596123
9732.65 2787.247357 43.213098
9743.62 2812.607632 43.480141
9754.60 2813.290506 43.475897
9765.57 2763.371544 42.695435
9776.55 2901.147768 43.961902
9787.52 2823.418254 43.896716
9798.50 2757.241013 42.628091
9809.47 2758.094761 42.817461
9820.45 2767.524771 42.653998
9831.42 2803.961648 42.914418
9842.40 2759.700002 42.587046
9853.37 2758.471237 42.413115
9864.35 2705.551964 41.597117
9875.32 2725.456322 42.068958
9886.30 2751.205732 42.078178
9897.27 2831.345882 42.750114
9908.25 2909.426796 43.689600
9919.22 2788.013268 42.422536
9930.20 2810.817401 42.518534
9941.18 2854.521355 42.643113
9952.15 2815.106150 42.695624
9963.13 2755.567411 41.943822
9974.10 2795.434977 42.051820
9985.08 2829.205906 42.722987
9996.05 2892.148902 42.840722
10007.03 2866.861162 42.763767
10018.00 2824.011951 42.482758
10028.98 2845.589265 42.444364
10039.95 2840.703522 42.253106
10050.93 2755.828120 41.529782
10061.90 2817.114961 41.963369
10072.88 2844.894831 41.973666
10083.85 2754.824362 41.410348
10094.83 2796.075216 41.618921
10105.80 2921.916428 42.837264
10116.78 2841.212445 41.621462
10127.75 2780.775348 41.074696
10138.73 2828.653862 41.575976
10149.70 2821.966250 41.466123
10160.68 2958.917490 42.569658
10171.65 2803.269057 41.360628
10182.63 2777.594960 41.004090
10193.60 2891.317108 42.029877
10204.58 2790.469317 41.009694
10215.55 2804.570514 41.508050
10226.53 2806.602627 41.340682
10237.50 2864.625868 41.572602
10248.48 2923.554406 42.273734
10259.45 2854.095265 41.443034
10270.43 2801.391687 40.752802
10281.40 2936.027206 42.176008
10292.38 2803.653174 41.029227
10303.36 2835.899524 41.182414
10314.33 2796.047808 40.806121
10325.31 2785.013400 40.372511
10336.28 2924.938824 41.750113
10347.26 2833.091994 40.954547
10358.23 2822.896344 40.836109
10369.21 2792.831405 40.469298
10380.18 2715.294116 39.735061
10391.16 2806.067216 40.598672
10402.13 2759.398343 39.946989
10413.11 2821.109720 40.609105
10424.08 2855.304692 40.902481
10435.06 2851.853837 40.689283
10446.03 2727.972405 39.742970
10457.01 2847.943384 40.685255
10467.98 3050.165007 42.077500
10478.96 2854.178702 40.581673
10489.93 2786.770882 39.766534
10500.91 2714.291336 39.215775
10511.88 2750.880098 39.539690
10522.86 2785.677289 39.838222
10533.83 2827.929754 40.058965
10544.81 2712.307582 39.187360
10555.78 2833.413475 40.163218
10566.76 2798.522436 40.017939
10577.73 2778.810183 39.666678
10588.71 2823.281664 40.110627
10599.68 2694.038404 38.738505
10610.66 2728.700323 39.159341
10621.63 2784.724966 39.429968
10632.61 2791.044588 39.677922
10643.58 2753.345467 39.131387
10654.56 2810.217911 39.353566
10665.54 2868.256015 39.900678
10676.51 2730.020223 38.910348
10687.49 2699.441393 38.600900
10698.46 2723.368217 38.912911
10709.44 2732.158027 39.002013
10720.41 2903.739480 40.164908
10731.39 2946.308858 40.363769
10742.36 2781.528920 39.250164
10753.34 2802.389875 39.565977
10764.31 2970.896425 40.577763
10775.29 2740.515927 38.754812
10786.26 2713.183292 38.369359
10797.24 2699.811813 38.158894
10808.21 2761.396346 38.784828
10819.19 2797.968980 39.171665
10830.16 3004.853688 40.636762
10841.14 2833.388390 39.159639
10852.11 2718.461131 38.324213
10863.09 2855.573557 39.455946
10874.06 2808.262002 38.925452
10885.04 2738.315383 38.249954
10896.01 2703.502427 38.250638
10906.99 2768.895358 38.466557
10917.96 2666.742071 37.450833
10928.94 2817.032210 38.746048
10939.91 2849.276160 38.939456
10950.89 2716.742584 38.264574
10961.86 2755.427357 38.509092
10972.84 2796.542992 38.664314
10983.81 2770.167051 38.333162
10994.79 2718.704532 37.708371
11005.76 2806.977849 38.773681
11016.74 2713.059800 37.806118
11027.72 2757.423896 38.099882
11038.69 2896.180167 39.129432
11049.67 3024.074326 40.088054
11060.64 2786.391035 38.298465
11071.62 2739.791337 37.842936
11082.59 3018.511629 39.918204
11093.57 3064.357938 40.459025
11104.54 2810.440636 38.200286
11115.52 2793.539347 38.424082
11126.49 2764.581326 38.076120
11137.47 2798.675258 38.297622
11148.44 2806.151473 38.287687
11159.42 2940.546934 39.074707
11170.39 2825.321748 38.548406
11181.37 2770.786168 37.976706
11192.34 2759.172197 37.637524
11203.32 2862.317504 38.433273
11214.29 2810.877311 37.943017
11225.27 2723.272279 37.231673
11236.24 2658.533232 36.839583
11247.22 2725.656897 37.330648
11258.19 2742.996433 37.179560
11269.17 2879.140005 38.266752
11280.14 2909.043539 38.325993
11291.12 2803.544530 37.874870
11302.09 2846.344363 38.132543
11313.07 2886.753752 38.508418
11324.04 3230.382560 40.918832
11335.02 2887.445980 38.353970
11345.99 2800.922267 37.948327
11356.97 2806.924747 37.745409
11367.94 2804.417506 37.751667
11378.92 2788.347556 37.868494
11389.90 2972.942787 39.101484
11400.87 3268.700896 41.186938
11411.85 2861.008655 37.859541
11422.82 2811.908309 37.738070
11433.80 2766.972549 37.208151
11444.77 2780.984201 37.448046
11455.75 2687.969471 36.413763
11466.72 2695.466608 36.775641
11477.70 2723.028274 36.854436
11488.67 2802.385663 37.550616
11499.65 2783.847400 37.200661
11510.62 2791.794983 37.244954
11521.60 3038.341508 39.132077
11532.57 2894.991827 37.867105
11543.55 2799.995203 37.330720
11554.52 2832.780744 37.714157
11565.50 3213.048880 40.304511
11576.47 3255.057032 40.269116
11587.45 2874.774341 37.807251
11598.42 2796.379996 37.090177
11609.40 2853.693885 37.531748
11620.37 2816.817071 37.256740
11631.35 2773.564927 36.902207
11642.32 2834.299508 37.226386
11653.30 3064.253889 39.067189
11664.27 2829.348008 37.210547
11675.25 2730.330382 36.151703
11686.22 2730.580662 36.315534
11697.20 2887.651242 37.577969
11708.17 2799.443688 36.857594
11719.15 2737.445980 36.383473
11730.12 2754.975388 36.531949
11741.10 2680.808937 35.703369
11752.08 2735.328217 36.363163
11763.05 2715.559400 36.259867
11774.03 2762.955404 36.424119
11785.00 3093.222791 38.896340
11795.98 2914.843404 37.781159
11806.95 2735.505480 36.279831
11817.93 2725.486968 36.372101
11828.90 3074.813750 38.683340
11839.88 3564.927237 41.906792
11850.85 2872.408308 37.195051
11861.83 2745.849398 36.096936
11872.80 2719.716478 35.684542
11883.78 2635.137862 35.220980
11894.75 2749.771553 36.155725
11905.73 2727.070495 35.902413
11916.70 2925.593450 37.216244
11927.68 3150.467490 38.897228
11938.65 2854.604030 36.909684
11949.63 2793.117556 36.524058
11960.60 2684.167009 35.306415
11971.58 2876.602227 36.963778
11982.55 2979.273879 37.848901
11993.53 2767.943957 35.912383
12004.50 2664.606448 35.227210
12015.48 2668.123330 35.357977
12026.45 2658.622824 35.245565
