# pixelID  x  y  z
112090001 1.08549 0.30275 0.56338
112090002 1.08300 0.30275 0.56651
112090003 1.08050 0.30275 0.56964
112090004 1.07801 0.30275 0.57276
112090005 1.07552 0.30275 0.57589
112090006 1.07302 0.30275 0.57902
112090007 1.07053 0.30275 0.58215
112090008 1.06804 0.30275 0.58528
112090009 1.06555 0.30275 0.58840
112090010 1.06305 0.30275 0.59153
112090011 1.06056 0.30275 0.59466
112090012 1.05807 0.30275 0.59779
112090013 1.05557 0.30275 0.60092
112090014 1.05308 0.30275 0.60404
112090015 1.05059 0.30275 0.60717
112090016 1.04809 0.30275 0.61030
112090017 1.04560 0.30275 0.61343
112090018 1.04311 0.30275 0.61656
112090019 1.04061 0.30275 0.61968
112090020 1.03812 0.30275 0.62281
112090021 1.03563 0.30275 0.62594
112090022 1.03314 0.30275 0.62907
112090023 1.03064 0.30275 0.63220
112090024 1.02815 0.30275 0.63532
112090025 1.02566 0.30275 0.63845
112090026 1.02316 0.30275 0.64158
112090027 1.02067 0.30275 0.64471
112090028 1.01818 0.30275 0.64784
112090029 1.01568 0.30275 0.65097
112090030 1.01319 0.30275 0.65409
112090031 1.01070 0.30275 0.65722
112090032 1.00821 0.30275 0.66035
112090033 1.00571 0.30275 0.66348
112090034 1.00322 0.30275 0.66661
112090035 1.00073 0.30275 0.66973
112090036 0.99823 0.30275 0.67286
112090037 0.99574 0.30275 0.67599
112090038 0.99325 0.30275 0.67912
112090039 0.99075 0.30275 0.68225
112090040 0.98826 0.30275 0.68537
112090041 0.98577 0.30275 0.68850
112090042 0.98327 0.30275 0.69163
112090043 0.98078 0.30275 0.69476
112090044 0.97829 0.30275 0.69789
112090045 0.97580 0.30275 0.70101
112090046 0.97330 0.30275 0.70414
112090047 0.97081 0.30275 0.70727
112090048 0.96832 0.30275 0.71040
112090049 0.96582 0.30275 0.71353
112090050 0.96333 0.30275 0.71665
112090051 0.96084 0.30275 0.71978
112090052 0.95834 0.30275 0.72291
112090053 0.95585 0.30275 0.72604
112090054 0.95336 0.30275 0.72917
112090055 0.95086 0.30275 0.73229
112090056 0.94837 0.30275 0.73542
112090057 0.94588 0.30275 0.73855
112090058 0.94339 0.30275 0.74168
112090059 0.94089 0.30275 0.74481
112090060 0.93840 0.30275 0.74793
112090061 0.93591 0.30275 0.75106
112090062 0.93341 0.30275 0.75419
112090063 0.93092 0.30275 0.75732
112090064 0.92843 0.30275 0.76045
112090065 0.92593 0.30275 0.76357
112090066 0.92344 0.30275 0.76670
112090067 0.92095 0.30275 0.76983
112090068 0.91845 0.30275 0.77296
112090069 0.91596 0.30275 0.77609
112090070 0.91347 0.30275 0.77921
112090071 0.91098 0.30275 0.78234
112090072 0.90848 0.30275 0.78547
112090073 0.90599 0.30275 0.78860
112090074 0.90350 0.30275 0.79173
112090075 0.90100 0.30275 0.79486
112090076 0.89851 0.30275 0.79798
112090077 0.89602 0.30275 0.80111
112090078 0.89352 0.30275 0.80424
112090079 0.89103 0.30275 0.80737
112090080 0.88854 0.30275 0.81050
112090081 0.88605 0.30275 0.81362
112090082 0.88355 0.30275 0.81675
112090083 0.88106 0.30275 0.81988
112090084 0.87857 0.30275 0.82301
112090085 0.87607 0.30275 0.82614
112090086 0.87358 0.30275 0.82926
112090087 0.87109 0.30275 0.83239
112090088 0.86859 0.30275 0.83552
112090089 0.86610 0.30275 0.83865
112090090 0.86361 0.30275 0.84178
112090091 0.86111 0.30275 0.84490
112090092 0.85862 0.30275 0.84803
112090093 0.85613 0.30275 0.85116
112090094 0.85364 0.30275 0.85429
112090095 0.85114 0.30275 0.85742
112090096 0.84865 0.30275 0.86054
112090097 0.84616 0.30275 0.86367
112090098 0.84366 0.30275 0.86680
112090099 0.84117 0.30275 0.86993
112090100 0.83868 0.30275 0.87306
112090101 0.83618 0.30275 0.87618
112090102 0.83369 0.30275 0.87931
112090103 0.83120 0.30275 0.88244
112090104 0.82870 0.30275 0.88557
112090105 0.82621 0.30275 0.88870
112090106 0.82372 0.30275 0.89182
112090107 0.82123 0.30275 0.89495
112090108 0.81873 0.30275 0.89808
112090109 0.81624 0.30275 0.90121
112090110 0.81375 0.30275 0.90434
112090111 0.81125 0.30275 0.90746
112090112 0.80876 0.30275 0.91059
112090113 0.80627 0.30275 0.91372
112090114 0.80377 0.30275 0.91685
112090115 0.80128 0.30275 0.91998
112090116 0.79879 0.30275 0.92310
112090117 0.79629 0.30275 0.92623
112090118 0.79380 0.30275 0.92936
112090119 0.79131 0.30275 0.93249
112090120 0.78882 0.30275 0.93562
112090121 0.78632 0.30275 0.93874
112090122 0.78383 0.30275 0.94187
112090123 0.78134 0.30275 0.94500
112090124 0.77884 0.30275 0.94813
112090125 0.77635 0.30275 0.95126
112090126 0.77386 0.30275 0.95439
112090127 0.77136 0.30275 0.95751
112090128 0.76887 0.30275 0.96064
112090129 0.76638 0.30275 0.96377
112090130 0.76388 0.30275 0.96690
112090131 0.76139 0.30275 0.97003
112090132 0.75890 0.30275 0.97315
112090133 0.75641 0.30275 0.97628
112090134 0.75391 0.30275 0.97941
112090135 0.75142 0.30275 0.98254
112090136 0.74893 0.30275 0.98567
112090137 0.74643 0.30275 0.98879
112090138 0.74394 0.30275 0.99192
112090139 0.74145 0.30275 0.99505
112090140 0.73895 0.30275 0.99818
112090141 0.73646 0.30275 1.00131
112090142 0.73397 0.30275 1.00443
112090143 0.73148 0.30275 1.00756
112090144 0.72898 0.30275 1.01069
112090145 0.72649 0.30275 1.01382
112090146 0.72400 0.30275 1.01695
112090147 0.72150 0.30275 1.02007
112090148 0.71901 0.30275 1.02320
112090149 0.71652 0.30275 1.02633
112090150 0.71402 0.30275 1.02946
112090151 1.08549 0.31625 0.56338
112090152 1.08300 0.31625 0.56651
112090153 1.08050 0.31625 0.56964
112090154 1.07801 0.31625 0.57276
112090155 1.07552 0.31625 0.57589
112090156 1.07302 0.31625 0.57902
112090157 1.07053 0.31625 0.58215
112090158 1.06804 0.31625 0.58528
112090159 1.06555 0.31625 0.58840
112090160 1.06305 0.31625 0.59153
112090161 1.06056 0.31625 0.59466
112090162 1.05807 0.31625 0.59779
112090163 1.05557 0.31625 0.60092
112090164 1.05308 0.31625 0.60404
