# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
113010001 0.714487 -0.627400 2.213767 2.409333 23.244412 -41.286770 1.209748 1.436457
113010002 0.713227 -0.627400 2.218606 2.413407 23.178434 -41.336911 1.209277 1.432967
113010003 0.711967 -0.627400 2.223444 2.417485 23.112695 -41.387151 1.208804 1.429484
113010004 0.710708 -0.627400 2.228283 2.421566 23.047193 -41.437492 1.208331 1.426008
113010005 0.709448 -0.627400 2.233122 2.425650 22.981928 -41.487933 1.207857 1.422538
113010006 0.708188 -0.627400 2.237960 2.429738 22.916898 -41.538475 1.207382 1.419074
113010007 0.706928 -0.627400 2.242799 2.433829 22.852103 -41.589118 1.206907 1.415617
113010008 0.705668 -0.627400 2.247638 2.437924 22.787541 -41.639862 1.206430 1.412166
113010009 0.704408 -0.627400 2.252476 2.442022 22.723212 -41.690707 1.205953 1.408721
113010010 0.703148 -0.627400 2.257315 2.446123 22.659114 -41.741654 1.205475 1.405283
113010011 0.701889 -0.627400 2.262154 2.450228 22.595248 -41.792702 1.204996 1.401851
113010012 0.700629 -0.627400 2.266992 2.454336 22.531611 -41.843853 1.204517 1.398426
113010013 0.699369 -0.627400 2.271831 2.458448 22.468203 -41.895105 1.204037 1.395007
113010014 0.698109 -0.627400 2.276670 2.462562 22.405023 -41.946460 1.203556 1.391594
113010015 0.696849 -0.627400 2.281508 2.466680 22.342071 -41.997918 1.203075 1.388187
113010016 0.695589 -0.627400 2.286347 2.470801 22.279344 -42.049478 1.202593 1.384787
113010017 0.694330 -0.627400 2.291186 2.474926 22.216843 -42.101142 1.202111 1.381392
113010018 0.693070 -0.627400 2.296024 2.479053 22.154566 -42.152909 1.201628 1.378004
113010019 0.691810 -0.627400 2.300863 2.483184 22.092512 -42.204779 1.201144 1.374623
113010020 0.690550 -0.627400 2.305702 2.487318 22.030681 -42.256753 1.200660 1.371247
113010021 0.689290 -0.627400 2.310541 2.491455 21.969072 -42.308831 1.200176 1.367878
113010022 0.688030 -0.627400 2.315379 2.495596 21.907684 -42.361014 1.199691 1.364514
113010023 0.686770 -0.627400 2.320218 2.499739 21.846515 -42.413301 1.199205 1.361157
113010024 0.685511 -0.627400 2.325057 2.503886 21.785566 -42.465692 1.198720 1.357806
113010025 0.684251 -0.627400 2.329895 2.508035 21.724834 -42.518189 1.198233 1.354461
113010026 0.682991 -0.627400 2.334734 2.512188 21.664320 -42.570790 1.197747 1.351122
113010027 0.681731 -0.627400 2.339573 2.516344 21.604022 -42.623497 1.197260 1.347789
113010028 0.680471 -0.627400 2.344411 2.520503 21.543940 -42.676310 1.196773 1.344462
113010029 0.679211 -0.627400 2.349250 2.524665 21.484072 -42.729228 1.196285 1.341141
113010030 0.677951 -0.627400 2.354089 2.528830 21.424418 -42.782252 1.195798 1.337826
113010031 0.676692 -0.627400 2.358927 2.532998 21.364977 -42.835383 1.195310 1.334517
113010032 0.675432 -0.627400 2.363766 2.537169 21.305749 -42.888620 1.194821 1.331213
113010033 0.674172 -0.627400 2.368605 2.541343 21.246731 -42.941964 1.194333 1.327916
113010034 0.672912 -0.627400 2.373443 2.545520 21.187924 -42.995414 1.193844 1.324625
113010035 0.671652 -0.627400 2.378282 2.549700 21.129326 -43.048972 1.193355 1.321339
113010036 0.670392 -0.627400 2.383121 2.553883 21.070938 -43.102637 1.192866 1.318060
113010037 0.669133 -0.627400 2.387959 2.558069 21.012757 -43.156410 1.192377 1.314786
113010038 0.667873 -0.627400 2.392798 2.562258 20.954783 -43.210291 1.191888 1.311518
113010039 0.666613 -0.627400 2.397637 2.566450 20.897015 -43.264280 1.191399 1.308255
113010040 0.665353 -0.627400 2.402475 2.570645 20.839453 -43.318377 1.190909 1.304999
113010041 0.664093 -0.627400 2.407314 2.574842 20.782095 -43.372583 1.190420 1.301748
113010042 0.662833 -0.627400 2.412153 2.579042 20.724941 -43.426898 1.189930 1.298503
113010043 0.661573 -0.627400 2.416991 2.583246 20.667990 -43.481321 1.189440 1.295264
113010044 0.660314 -0.627400 2.421830 2.587452 20.611242 -43.535854 1.188951 1.292030
113010045 0.659054 -0.627400 2.426669 2.591660 20.554694 -43.590496 1.188461 1.288802
113010046 0.657794 -0.627400 2.431507 2.595872 20.498347 -43.645248 1.187971 1.285580
113010047 0.656534 -0.627400 2.436346 2.600087 20.442200 -43.700110 1.187482 1.282363
113010048 0.655274 -0.627400 2.441185 2.604304 20.386252 -43.755082 1.186992 1.279152
113010049 0.654014 -0.627400 2.446023 2.608524 20.330502 -43.810165 1.186502 1.275946
113010050 0.652755 -0.627400 2.450862 2.612747 20.274950 -43.865358 1.186013 1.272746
113010051 0.651495 -0.627400 2.455701 2.616972 20.219594 -43.920662 1.185523 1.269552
113010052 0.650235 -0.627400 2.460539 2.621200 20.164434 -43.976077 1.185034 1.266363
113010053 0.648975 -0.627400 2.465378 2.625431 20.109469 -44.031603 1.184545 1.263180
113010054 0.647715 -0.627400 2.470217 2.629665 20.054699 -44.087241 1.184056 1.260002
113010055 0.646455 -0.627400 2.475055 2.633901 20.000122 -44.142991 1.183567 1.256829
