# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
102020001 -0.588502 -0.413400 2.697635 2.791857 14.927865 -144.913445 0.950463 1.345964
102020002 -0.589762 -0.413400 2.692796 2.787448 14.973968 -144.971055 0.950566 1.349010
102020003 -0.591022 -0.413400 2.687957 2.783042 15.020232 -145.028501 0.950671 1.352060
102020004 -0.592282 -0.413400 2.683119 2.778637 15.066657 -145.085783 0.950778 1.355116
102020005 -0.593542 -0.413400 2.678280 2.774234 15.113244 -145.142900 0.950887 1.358176
102020006 -0.594801 -0.413400 2.673441 2.769833 15.159993 -145.199855 0.950998 1.361240
102020007 -0.596061 -0.413400 2.668603 2.765435 15.206905 -145.256648 0.951110 1.364310
102020008 -0.597321 -0.413400 2.663764 2.761038 15.253980 -145.313278 0.951225 1.367384
102020009 -0.598581 -0.413400 2.658925 2.756643 15.301220 -145.369747 0.951341 1.370464
102020010 -0.599841 -0.413400 2.654087 2.752251 15.348625 -145.426056 0.951459 1.373548
102020011 -0.601101 -0.413400 2.649248 2.747860 15.396196 -145.482204 0.951579 1.376637
102020012 -0.602361 -0.413400 2.644409 2.743472 15.443933 -145.538193 0.951701 1.379731
102020013 -0.603620 -0.413400 2.639570 2.739086 15.491836 -145.594023 0.951825 1.382830
102020014 -0.604880 -0.413400 2.634732 2.734701 15.539908 -145.649694 0.951951 1.385935
102020015 -0.606140 -0.413400 2.629893 2.730319 15.588148 -145.705208 0.952078 1.389044
102020016 -0.607400 -0.413400 2.625054 2.725939 15.636556 -145.760564 0.952208 1.392158
102020017 -0.608660 -0.413400 2.620216 2.721562 15.685135 -145.815764 0.952339 1.395278
102020018 -0.609920 -0.413400 2.615377 2.717186 15.733883 -145.870807 0.952472 1.398402
102020019 -0.611179 -0.413400 2.610538 2.712812 15.782803 -145.925695 0.952606 1.401532
102020020 -0.612439 -0.413400 2.605700 2.708441 15.831894 -145.980428 0.952743 1.404667
102020021 -0.613699 -0.413400 2.600861 2.704072 15.881158 -146.035006 0.952882 1.407807
102020022 -0.614959 -0.413400 2.596022 2.699705 15.930595 -146.089430 0.953022 1.410953
102020023 -0.616219 -0.413400 2.591184 2.695340 15.980206 -146.143702 0.953164 1.414104
102020024 -0.617479 -0.413400 2.586345 2.690978 16.029991 -146.197820 0.953308 1.417260
102020025 -0.618739 -0.413400 2.581506 2.686617 16.079951 -146.251786 0.953453 1.420422
102020026 -0.619998 -0.413400 2.576668 2.682259 16.130087 -146.305600 0.953601 1.423589
102020027 -0.621258 -0.413400 2.571829 2.677903 16.180400 -146.359263 0.953750 1.426761
102020028 -0.622518 -0.413400 2.566990 2.673550 16.230890 -146.412775 0.953901 1.429939
102020029 -0.623778 -0.413400 2.562152 2.669198 16.281558 -146.466137 0.954054 1.433122
102020030 -0.625038 -0.413400 2.557313 2.664849 16.332405 -146.519350 0.954208 1.436311
102020031 -0.626298 -0.413400 2.552474 2.660502 16.383432 -146.572414 0.954365 1.439506
102020032 -0.627558 -0.413400 2.547636 2.656158 16.434639 -146.625329 0.954523 1.442706
102020033 -0.628817 -0.413400 2.542797 2.651816 16.486026 -146.678096 0.954683 1.445912
102020034 -0.630077 -0.413400 2.537958 2.647476 16.537596 -146.730716 0.954844 1.449123
102020035 -0.631337 -0.413400 2.533120 2.643138 16.589348 -146.783189 0.955007 1.452340
